Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
Starsza pani musi zniknπÊ;6;6.5;26 wrzesieÒ 2003;2003;141 082;Czarna komedia;Niemcy;1 godz. 29 min.;Danny DeVito
Pianista;8;8.3;24 maj 2002;2002;583 103;Biograficzny;Francja;2 godz. 30 min.;Roman PolaÒski
Czarownica;6;7.3;28 maj 2014;2014;212 648;Familijny;USA;1 godz. 37 min.;Robert Stromberg
Metro;7;6.4;21 luty 2013;2012;14 853;Katastroficzny;Rosja;2 godz. 12 min.;Anton Megerdichev
Przeznaczenie;7;7.2;8 marzec 2014;2014;65 911;Thriller;Australia;1 godz. 37 min.;Michael Spierig
Zbaw nas ode z≥ego;7;6.7;2 lipiec 2014;2014;72 361;Horror;USA;1 godz. 58 min.;Scott Derrickson
Lucy;4;6.3;24 lipiec 2014;2014;217 797;Akcja;Francja;1 godz. 30 min.;Luc Besson
Niezniszczalni 3;9;6.6;4 sierpieÒ 2014;2014;69 699;Akcja;Francja;2 godz. 6 min.;Patrick Hughes
Gang WiewiÛra;7;6.0;11 styczeÒ 2014;2014;12 131;Animacja;Kanada;1 godz. 26 min.;Peter Lepeniotis
Dawca pamiÍci;7;6.6;11 sierpieÒ 2014;2014;105 462;Dramat;Kanada;1 godz. 34 min.;Phillip Noyce
Straønicy Galaktyki;5;7.5;21 lipiec 2014;2014;231 460;Akcja;USA;2 godz. 1 min.;James Gunn
WiÍzieÒ labiryntu;6;7.0;11 wrzesieÒ 2014;2014;203 496;Thriller;Kanada;1 godz. 53 min.;Wes Ball
Transformers: Wiek zag≥ady;5;6.2;19 czerwiec 2014;2014;97 420;Akcja;Chiny;2 godz. 45 min.;Michael Bay
Karolina;5;4.6;21 listopad 2014;2014;2 080;Obyczajowy;Polska;1 godz. 42 min.;Dariusz Regucki
Mama;6;5.9;17 styczeÒ 2013;2013;84 509;Horror;Hiszpania;1 godz. 40 min.;Andy Muschietti
Wyspa Nim;6;6.2;30 marzec 2008;2008;21 595;Familijny;USA;1 godz. 36 min.;Mark Levin
Gladiator;8;8.1;1 maj 2000;2000;746 870;Dramat historyczny;USA;2 godz. 35 min.;Ridley Scott
Granice wytrzyma≥oúci;4;6.3;3 grudzieÒ 2000;2000;15 590;Przygodowy;Niemcy;2 godz. 4 min.;Martin Campbell
Grinch: úwiπt nie bÍdzie;6;6.1;8 listopad 2000;2000;72 214;Familijny;Niemcy;1 godz. 44 min.;Ron Howard
Troja;7;7.4;9 maj 2004;2004;334 142;Dramat historyczny;USA;2 godz. 43 min.;Wolfgang Petersen
Ja, robot;8;7.2;7 lipiec 2004;2004;259 658;Thriller;Niemcy;1 godz. 55 min.;Alex Proyas
Feralna noc;6;5.1;28 luty 2014;2014;4 929;Krymina≥;USA;1 godz. 48 min.;David Grovic
Ma≥y;7;6.2;13 lipiec 2006;2006;30 556;Komedia;Kanada;1 godz. 38 min.;Keenen Ivory Wayans
Nadchodzi Polly;7;6.1;12 styczeÒ 2004;2004;41 216;Komedia rom.;USA;1 godz. 30 min.;John Hamburg
1000 lat po Ziemi;6;5.4;1 maj 2013;2013;82 853;Przygodowy;USA;1 godz. 40 min.;M. Night Shyamalan
Hobbit: Niezwyk≥a podrÛø;7;7.6;28 listopad 2012;2012;381 457;Fantasy;Nowa Zelandia;2 godz. 49 min.;Peter Jackson
D≥ugi poca≥unek na dobranoc;3;7.0;11 paüdziernik 1996;1996;26 519;Sensacyjny;USA;2 godz.;Renny Harlin
Pacific Rim;8;6.5;2 lipiec 2013;2013;109 025;Akcja;USA;2 godz. 11 min.;Guillermo del Toro
Paul;8;6.6;14 luty 2011;2011;32 379;Komedia;USA;1 godz. 44 min.;Greg Mottola
Uprowadzona 2;6;6.7;7 wrzesieÒ 2012;2012;130 808;Sensacyjny;Francja;1 godz. 31 min.;Olivier Megaton
Dystrykt 9;7;7.1;13 sierpieÒ 2009;2009;219 744;Dramat;Kanada;1 godz. 52 min.;Neill Blomkamp
Anomalia;6;5.3;19 czerwiec 2014;2014;6 536;Akcja;Wielka Brytania;1 godz. 37 min.;Noel Clarke
Za≥oga G;7;6.1;19 lipiec 2009;2009;24 584;Animacja;USA;1 godz. 28 min.;Hoyt Yeatman
RoboCop;6;6.1;30 styczeÒ 2014;2014;67 353;Akcja;USA;2 godz.;JosÈ Padilha
Ewolucja planety ma≥p;10;7.0;26 czerwiec 2014;2014;83 703;Dramat;USA;2 godz. 10 min.;Matt Reeves
Brick Mansions. Najlepszy z najlepszych;4;5.8;23 kwiecieÒ 2014;2014;20 820;Dramat;Francja;1 godz. 30 min.;Camille Delamarre
Kick-Ass 2;4;6.3;14 sierpieÒ 2013;2013;50 641;Komedia;USA;1 godz. 43 min.;Jeff Wadlow
Godzilla;6;6.0;8 maj 2014;2014;77 861;Akcja;Japonia;2 godz. 3 min.;Gareth Edwards
Noc oczyszczenia;5;5.8;31 maj 2013;2013;75 429;Thriller;Francja;1 godz. 25 min.;James DeMonaco
Milion sposobÛw, jak zginπÊ na Zachodzie;6;6.2;15 maj 2014;2014;79 055;Komedia;USA;1 godz. 54 min.;Seth MacFarlane
47 roninÛw;6;6.3;6 grudzieÒ 2013;2013;73 596;Fantasy;USA;2 godz. 8 min.;Carl Rinsch
7 psychopatÛw;8;6.7;7 wrzesieÒ 2012;2012;61 908;Komedia kryminalna;Wielka Brytania;1 godz. 49 min.;Martin McDonagh
Hansel i Gretel: £owcy czarownic;6;6.4;17 styczeÒ 2013;2013;86 221;Fantasy;Niemcy;1 godz. 28 min.;Tommy Wirkola
Operacja Argo;8;7.3;31 sierpieÒ 2012;2012;134 911;Thriller;USA;2 godz.;Ben Affleck
Sπsiedzi;7;6.1;8 marzec 2014;2014;118 137;Komedia;USA;1 godz. 31 min.;Nicholas Stoller
22 Jump Street;4;6.8;5 czerwiec 2014;2014;121 339;Akcja;USA;1 godz. 52 min.;Phil Lord
Syberiada polska;8;5.7;18 luty 2013;2013;18 398;Dramat historyczny;Polska;2 godz. 5 min.;Janusz Zaorski
To juø jest koniec;6;6.2;10 lipiec 2013;2013;22 324;Komedia;Japonia;1 godz. 49 min.;Edgar Wright
Sekretne øycie Waltera Mitty;5;7.0;5 paüdziernik 2013;2013;103 210;Dramat;USA;1 godz. 54 min.;Ben Stiller
Gra Endera;5;6.4;24 paüdziernik 2013;2013;76 763;Akcja;USA;1 godz. 54 min.;Gavin Hood
Rodzinne rewolucje;5;6.9;19 maj 2014;2014;69 461;Komedia;USA;1 godz. 57 min.;Frank Coraci
Na skraju jutra;7;7.4;28 maj 2014;2014;166 629;Akcja;Kanada;1 godz. 53 min.;Doug Liman
Skazani na Shawshank;8;8.8;10 wrzesieÒ 1994;1994;887 509;Dramat;USA;2 godz. 22 min.;Frank Darabont
Kapitan Phillips;9;7.7;27 wrzesieÒ 2013;2013;205 123;Biograficzny;USA;2 godz. 14 min.;Paul Greengrass
Taxi 4;9;6.8;14 luty 2007;2007;64 496;Komedia;Francja;1 godz. 31 min.;GÈrard Krawczyk
21 Jump Street;8;7.0;12 marzec 2012;2012;161 326;Akcja;USA;1 godz. 49 min.;Phil Lord
åwiat w p≥omieniach;7;6.4;26 czerwiec 2013;2013;57 744;Thriller;USA;2 godz. 11 min.;Roland Emmerich
Olimp w ogniu;8;6.5;18 marzec 2013;2013;72 735;Thriller;USA;2 godz.;Antoine Fuqua
Cz≥owiek ze stali;7;6.4;10 czerwiec 2013;2013;126 251;Akcja;Kanada;2 godz. 23 min.;Zack Snyder
Iceman: Historia mordercy;7;6.7;30 sierpieÒ 2012;2012;31 680;Biograficzny;USA;1 godz. 43 min.;Ariel Vromen
Noe: Wybrany przez Boga;5;5.7;10 marzec 2014;2014;97 882;Dramat;USA;2 godz. 18 min.;Darren Aronofsky
Bruce Wszechmogπcy;8;6.9;14 maj 2003;2003;476 074;Fantasy;USA;1 godz. 41 min.;Tom Shadyac
Avengers;9;7.5;11 kwiecieÒ 2012;2012;311 425;Akcja;USA;2 godz. 22 min.;Joss Whedon
To juø jest koniec;6;5.5;3 czerwiec 2013;2013;54 466;Fantasy;USA;1 godz. 46 min.;Evan Goldberg
Muppety;6;6.1;12 listopad 2011;2011;24 276;Familijny;USA;1 godz. 50 min.;James Bobin
Evan Wszechmogπcy;5;5.9;21 czerwiec 2007;2007;100 545;Fantasy;USA;1 godz. 35 min.;Tom Shadyac
Millerowie;7;7.1;7 sierpieÒ 2013;2013;214 658;Komedia kryminalna;USA;1 godz. 50 min.;Rawson Marshall Thurber
Iluzja;7;7.4;21 maj 2013;2013;326 352;Krymina≥;Francja;1 godz. 55 min.;Louis Leterrier
NiepamiÍÊ;6;6.8;26 marzec 2013;2013;132 263;Akcja;USA;2 godz. 5 min.;Joseph Kosinski
Transformers 3;7;6.9;23 czerwiec 2011;2011;148 366;Akcja;USA;2 godz. 37 min.;Michael Bay
Nie zadzieraj z fryzjerem;8;6.2;6 czerwiec 2008;2008;185 906;Komedia;USA;1 godz. 53 min.;Dennis Dugan
Mocne uderzenie;6;6.5;10 paüdziernik 2012;2012;23 315;Komedia;USA;1 godz. 45 min.;Frank Coraci
Duøe dzieci;8;6.8;24 czerwiec 2010;2010;109 842;Komedia;USA;1 godz. 42 min.;Dennis Dugan
Jeszcze wiÍksze dzieci;8;6.7;10 lipiec 2013;2013;74 759;Komedia;USA;1 godz. 41 min.;Dennis Dugan
Niezgodna;6;7.1;18 marzec 2014;2014;205 385;Akcja;USA;2 godz. 23 min.;Neil Burger
Hobbit: Pustkowie Smauga;6;7.6;2 grudzieÒ 2013;2013;307 069;Fantasy;Nowa Zelandia;2 godz. 41 min.;Peter Jackson
Maska;7;6.8;29 lipiec 1994;1994;299 839;Fantasy;USA;1 godz. 41 min.;Chuck Russell
Snowpiercer: Arka przysz≥oúci;8;6.2;1 sierpieÒ 2013;2013;78 630;Thriller;Czechy;2 godz. 6 min.;Joon-ho Bong
Wielkie wesele;7;6.1;25 kwiecieÒ 2013;2013;44 602;Komedia;USA;1 godz. 30 min.;Justin Zackham
GÛra Dantego;3;6.1;7 luty 1997;1997;25 904;Katastroficzny;USA;1 godz. 49 min.;Roger Donaldson
Ze úmierciπ jej do twarzy;2;6.8;13 lipiec 1992;1992;112 588;Fantasy;USA;1 godz. 43 min.;Robert Zemeckis
Program ochrony KsiÍøniczek;1;5.9;20 maj 2009;2009;29 424;Familijny;USA;1 godz. 29 min.;Allison Liddi-Brown
Czarodzieje powracajπ: Alex kontra Alex;5;6.3;15 marzec 2013;2013;7 982;Familijny;USA;1 godz.;VÌctor Gonz·lez
Kopciuszek: RoztaÒczona historia;5;6.2;16 wrzesieÒ 2008;2008;40 319;Musical;Kanada;1 godz. 32 min.;Damon Santostefano
Czarodzieje z Waverly Place: Film;7;6.1;28 sierpieÒ 2009;2009;24 159;Familijny;USA;1 godz. 38 min.;Lev L. Spiro
Tajemniczy ogrÛd;7;7.4;13 sierpieÒ 1993;1993;45 774;Familijny;USA;1 godz. 42 min.;Agnieszka Holland
WiÍü;5;4.3;2 paüdziernik 2020;2020;1 962;Horror;W≥ochy;1 godz. 33 min.;Domenico Emanuele de Feudis
Egzorcysta II: Heretyk;8;5.1;17 czerwiec 1977;1977;5 006;Horror;USA;1 godz. 58 min.;John Boorman
Tato;6;7.6;14 grudzieÒ 1995;1995;99 784;Dramat obyczajowy;Polska;1 godz. 50 min.;Maciej ålesicki
DosiÍgnπÊ kosmosu;7;7.5;19 luty 1999;1999;9 970;Biograficzny;USA;1 godz. 47 min.;Joe Johnston
Jack i magiczna fasola;9;5.9;6 listopad 2009;2009;1 061;BaúÒ;USA;1 godz. 34 min.;Gary J. Tunnicliffe
Kacper;7;6.4;26 maj 1995;1995;34 289;Familijny;USA;1 godz. 41 min.;Brad Silberling
Godzilla kontratakuje;8;6.3;24 kwiecieÒ 1955;1955;1 361;Horror;Japonia;1 godz. 22 min.;Motoyoshi Oda
Dziewiπte wrota;NaN;7.2;25 sierpieÒ 1999;1999;196 324;Dramat;Francja;2 godz. 13 min.;Roman PolaÒski
Godzilla;7;6.9;3 listopad 1954;1954;4 404;Horror;Japonia;1 godz. 38 min.;IshirÙ Honda
Ukryty wymiar;7;6.9;15 sierpieÒ 1997;1997;42 094;Horror;USA;1 godz. 35 min.;Paul W.S. Anderson
Buntownik z wyboru;6;8.1;2 grudzieÒ 1997;1997;270 150;Dramat obyczajowy;USA;2 godz. 6 min.;Gus Van Sant
The Birch;6;6.4;23 maj 2016;2016;317;Horror;Wielka Brytania;4 min.;Ben Franklin
Kiler-Ûw 2-Ûch;5;7.3;15 styczeÒ 1999;1999;220 874;Komedia;Polska;1 godz. 53 min.;Juliusz Machulski
Pieniπdze to nie wszystko;4;6.9;5 styczeÒ 2001;2001;112 628;Komedia obycz.;Polska;1 godz. 42 min.;Juliusz Machulski
Would You Rather;6;6.1;14 paüdziernik 2012;2012;6 965;Dramat;USA;1 godz. 33 min.;David Guy Levy
Circle;5;5.7;28 maj 2015;2015;22 597;Horror;USA;1 godz. 27 min.;Aaron Hann
Dzika rzeka;8;6.6;30 wrzesieÒ 1994;1994;29 142;Dramat;USA;1 godz. 48 min.;Curtis Hanson
300 mil do nieba;5;7.5;30 paüdziernik 1989;1989;21 996;Dramat obyczajowy;Dania;1 godz. 45 min.;Maciej Dejczer
åwiÍci z Bostonu;6;7.8;4 sierpieÒ 1999;1999;163 167;Sensacyjny;Kanada;1 godz. 50 min.;Troy Duffy
The Black Ghiandola;8;4.8;22 kwiecieÒ 2017;2017;138;Horror;USA;17 min.;Catherine Hardwicke
MÛj przyjaciel Hachiko;8;8.0;13 czerwiec 2009;2009;176 704;Dramat;USA;1 godz. 33 min.;Lasse Hallstrˆm
Olej Lorenza;5;7.4;30 grudzieÒ 1992;1992;12 136;Dramat;USA;2 godz. 9 min.;George Miller
Zak≥adnik;5;6.0;29 czerwiec 2002;2002;5 146;Krymina≥;Niemcy;1 godz. 43 min.;Bob Rafelson
WrÛg publiczny;NaN;7.6;16 listopad 1998;1998;107 557;Sensacyjny;USA;2 godz. 11 min.;Tony Scott
The Answers;7;7.7;6 luty 2015;2015;3 816;Dramat;USA;8 min.;Michael Goode
Kud≥aty zaprzÍg;7;6.7;5 luty 2008;2008;5 106;Familijny;USA;1 godz. 10 min.;Robert Vince
åwiπteczne psiaki;6;6.6;18 listopad 2009;2009;1 773;Familijny;Kanada;1 godz. 28 min.;Robert Vince
22 kule;5;6.8;24 marzec 2010;2010;22 231;Krymina≥;Francja;1 godz. 55 min.;Richard Berry
Godziny szczytu;7;7.2;18 wrzesieÒ 1998;1998;68 784;Akcja;USA;1 godz. 37 min.;Brett Ratner
Karol - papieø, ktÛry pozosta≥ cz≥owiekiem;8;7.0;30 marzec 2006;2006;74 805;Biograficzny;Kanada;2 godz. 35 min.;Giacomo Battiato
Gra;6;7.9;3 wrzesieÒ 1997;1997;200 931;Thriller;USA;2 godz. 8 min.;David Fincher
Trzy kolory: Bia≥y;4;7.8;26 styczeÒ 1994;1994;44 005;Dramat;Francja;1 godz. 31 min.;Krzysztof Kieúlowski
Duøe zwierzÍ;8;7.4;8 lipiec 2000;2000;17 346;Dramat;Polska;1 godz. 13 min.;Jerzy Stuhr
Trzy kolory: Niebieski;7;7.7;10 styczeÒ 1993;1993;64 308;Melodramat;Francja;1 godz. 40 min.;Krzysztof Kieúlowski
D≥ug;8;7.8;19 listopad 1999;1999;146 391;Dramat;Polska;1 godz. 37 min.;Krzysztof Krauze
KrÛtki film o mi≥oúci;7;7.9;20 wrzesieÒ 1988;1988;40 646;Dramat;Polska;1 godz. 23 min.;Krzysztof Kieúlowski
Dekalog VI;7;8.0;8 czerwiec 1990;1989;24 650;Dramat;Polska;58 min.;Krzysztof Kieúlowski
Madagwiazdka;8;7.0;17 listopad 2009;2009;16 338;Animacja;USA;30 min.;David Soren
KrÛtki film o zabijaniu;7;7.9;11 marzec 1988;1987;70 611;Dramat;Polska;1 godz. 24 min.;Krzysztof Kieúlowski
Dekalog V;8;8.1;1 czerwiec 1990;1989;33 248;Dramat;Polska;57 min.;Krzysztof Kieúlowski
Dekalog IV;7;7.9;25 maj 1990;1989;21 918;Dramat;Polska;55 min.;Krzysztof Kieúlowski
Dekalog III;5;7.0;18 maj 1990;1989;17 290;Dramat;Polska;55 min.;Krzysztof Kieúlowski
Dekalog II;6;7.7;11 maj 1990;1989;23 310;Dramat;Polska;58 min.;Krzysztof Kieúlowski
Dekalog I;7;7.8;10 grudzieÒ 1989;1989;37 473;Dramat;Polska;53 min.;Krzysztof Kieúlowski
Czerwony punkt;5;4.2;15 luty 2017;2017;3 343;Sensacyjny;Polska;9 min.;Patryk Vega
Ksiπdz;5;5.9;22 marzec 2017;2017;12 651;Dramat;Polska;19 min.;Wojciech Smarzowski
Ostatni smok;6;7.2;31 maj 1996;1996;42 609;Fantasy;USA;1 godz. 43 min.;Rob Cohen
Kruk;4;7.3;10 maj 1994;1994;61 046;Fantasy;USA;1 godz. 42 min.;Alex Proyas
Dwunastu gniewnych ludzi;7;8.7;10 kwiecieÒ 1957;1957;211 373;Dramat sπdowy;USA;1 godz. 36 min.;Sidney Lumet
Asterix i Obelix kontra Cezar;8;6.8;3 luty 1999;1999;89 570;Familijny;Francja;1 godz. 49 min.;Claude Zidi
Uwierz w ducha;7;7.3;13 lipiec 1990;1990;156 814;Dramat;USA;2 godz. 8 min.;Jerry Zucker
101 dalmatyÒczykÛw;4;6.4;18 listopad 1996;1996;88 363;Familijny;USA;1 godz. 43 min.;Stephen Herek
Jak rozpÍta≥em drugπ wojnÍ úwiatowπ;8;7.9;2 kwiecieÒ 1970;1969;269 256;Komedia;Polska;3 godz. 56 min.;Tadeusz Chmielewski
PowrÛt do przysz≥oúci;9;7.4;3 lipiec 1985;1985;326 302;Komedia;USA;1 godz. 56 min.;Robert Zemeckis
Con Air - lot skazaÒcÛw;8;7.0;2 czerwiec 1997;1997;78 768;Sensacyjny;USA;1 godz. 55 min.;Simon West
U Pana Boga za piecem;6;7.1;13 listopad 1998;1998;69 289;Dramat;Polska;1 godz. 40 min.;Jacek Bromski
Rodzinny weekend;6;5.8;29 marzec 2013;2013;3 608;Dramat;USA;1 godz. 45 min.;Benjamin Epps
Piraniokonda;6;2.4;16 czerwiec 2012;2012;2 522;Horror;USA;1 godz. 25 min.;Jim Wynorski
Godzilla;8;6.0;18 maj 1998;1998;46 825;Akcja;Japonia;2 godz. 20 min.;Roland Emmerich
A Therapy;7;6.8;22 maj 2012;2012;4 655;Komedia;Francja;4 min.;Roman PolaÒski
Wet Hot American Summer;4;5.6;23 styczeÒ 2001;2001;2 657;Komedia rom.;USA;1 godz. 37 min.;David Wain
Presto;7;7.6;10 czerwiec 2008;2008;14 635;Animacja;USA;5 min.;Doug Sweetland
Cargo;8;7.2;17 luty 2013;2013;4 304;Horror;Australia;7 min.;Yolanda Ramke
Plan prawie doskona≥y;6;6.1;25 czerwiec 2009;2009;6 841;Komedia kryminalna;USA;1 godz. 30 min.;Peter Hewitt
Armia Boga;5;6.6;5 sierpieÒ 1995;1995;18 854;Fantasy;USA;1 godz. 38 min.;Gregory Widen
Przeprowadzka;4;6.2;5 wrzesieÒ 2014;2014;6 242;Komedia;USA;1 godz. 32 min.;Richard Loncraine
Prowincjuszka;8;6.2;10 wrzesieÒ 2011;2011;9 996;Dramat;USA;1 godz. 35 min.;Derick Martini
NiemowlÍ kontratakuje;4;6.8;15 marzec 2005;2005;6 017;Animacja;USA;5 min.;Brad Bird
Nie przeszkadzaÊ;7;7.0;14 paüdziernik 2006;2006;8 669;Animacja;USA;5 min.;Gary Rydstrom
Cz≥owiek-Orkiestra;6;7.1;6 sierpieÒ 2005;2005;6 928;Animacja;USA;4 min.;Mark Andrews
Borrowed Time;7;7.0;31 paüdziernik 2015;2015;2 537;Animacja;USA;7 min.;Lou Hamou-Lhadj
Lou;5;6.9;12 marzec 2017;2017;2 429;Animacja;USA;7 min.;Dave Mullins
Droga koszykÛwko;3;6.2;23 kwiecieÒ 2017;2017;3 290;Animacja;USA;6 min.;Glen Keane
Pan Hublot;8;6.8;15 paüdziernik 2013;2013;3 935;Animacja;Francja;11 min.;Laurent Witz
Akademia pana Kleksa;6;6.9;30 styczeÒ 1984;1983;53 281;Dla dzieci;Polska;2 godz. 38 min.;Krzysztof Gradowski
Dr Dolittle;6;6.1;23 czerwiec 1998;1998;65 601;Familijny;USA;1 godz. 25 min.;Betty Thomas
Kapitan Bomba - Zemsta Faraona;NaN;7.2;5 paüdziernik 2012;2012;8 546;Animacja;Polska;1 godz. 20 min.;Bartosz Walaszek
Contratiempo;NaN;8.0;23 wrzesieÒ 2016;2016;122 235;Krymina≥;Hiszpania;1 godz. 46 min.;Oriol Paulo
Ch≥opiÍcy úwiat;7;7.7;9 kwiecieÒ 1993;1993;36 206;Biograficzny;USA;1 godz. 55 min.;Michael Caton-Jones
Megan Leavey;8;7.1;4 kwiecieÒ 2017;2017;6 357;Dramat;USA;1 godz. 56 min.;Gabriela Cowperthwaite
Lúnienie;3;7.8;23 maj 1980;1980;402 102;Horror;USA;2 godz. 26 min.;Stanley Kubrick
MiÍdzy piek≥em a niebem;5;7.6;28 wrzesieÒ 1998;1998;99 053;Fantasy;Nowa Zelandia;1 godz. 53 min.;Vincent Ward
Przebudzenia;6;8.1;12 grudzieÒ 1990;1990;111 293;Dramat obyczajowy;USA;2 godz. 1 min.;Penny Marshall
Paradoks Cloverfield;6;5.3;4 luty 2018;2018;29 083;Sci-Fi;USA;1 godz. 42 min.;Julius Onah
KrÛl polki;4;5.6;22 styczeÒ 2017;2017;8 137;Komedia;USA;1 godz. 35 min.;Maya Forbes
Karmazynowy przyp≥yw;7;7.6;12 maj 1995;1995;51 038;Thriller;USA;1 godz. 56 min.;Tony Scott
Eksplozja;9;6.9;1 lipiec 1994;1994;9 336;Sensacyjny;USA;2 godz. 1 min.;Stephen Hopkins
Ranczo Wilkowyje;8;6.6;26 grudzieÒ 2007;2007;35 796;Komedia obycz.;Polska;1 godz. 36 min.;Wojciech Adamczyk
Big Fat Liar 2;NaN;5.6;18 kwiecieÒ 2017;2017;320;Familijny;USA;1 godz. 34 min.;Ron Oliver
More;4;7.8;1 styczeÒ 1998;1998;8 510;Animacja;USA;6 min.;Mark Osborne
Vincent;4;7.8;1 paüdziernik 1982;1982;41 973;Animacja;USA;6 min.;Tim Burton
Gadajπce g≥owy;6;8.1;4 sierpieÒ 1980;1980;41 004;Dokumentalny;Polska;14 min.;Krzysztof Kieúlowski
The Backwater Gospel;8;7.5;23 wrzesieÒ 2011;2011;2 983;Animacja;Dania;9 min.;Bo Mathorne
The Maker;7;7.9;23 czerwiec 2011;2011;32 296;Animacja;Australia;6 min.;Christopher Kezelos
Aladyn;5;7.4;8 listopad 1992;1992;61 293;Animacja;USA;1 godz. 30 min.;John Musker
Kevin sam w domu 4;NaN;3.3;3 listopad 2002;2002;14 238;Familijny;USA;1 godz. 29 min.;Rod Daniel
Alex - sam w domu;5;4.6;12 grudzieÒ 1997;1997;29 519;Familijny;USA;1 godz. 42 min.;Raja Gosnell
KrÛl Skorpion 4: Utracony tron;8;4.4;6 styczeÒ 2015;2015;2 016;Fantasy;USA;1 godz. 44 min.;Mike Elliott
KrÛl Skorpion 3: Odkupienie;6;4.6;17 styczeÒ 2012;2012;5 620;Fantasy;USA;1 godz. 44 min.;Roel ReinÈ
KrÛl Skorpion 2: Narodziny wojownika;6;5.2;19 sierpieÒ 2008;2008;10 167;Fantasy;Niemcy;1 godz. 49 min.;Russell Mulcahy
åwiπteczna gorπczka;4;5.7;16 listopad 1996;1996;23 745;Familijny;USA;1 godz. 29 min.;Brian Levant
Junior;8;5.3;23 listopad 1994;1994;41 265;Komedia;USA;1 godz. 49 min.;Ivan Reitman
Bliüniacy;NaN;6.1;8 grudzieÒ 1988;1988;36 907;Komedia;USA;1 godz. 47 min.;Ivan Reitman
Pocahontas;NaN;7.5;15 czerwiec 1995;1995;162 507;Animacja;USA;1 godz. 21 min.;Eric Goldberg
Pingwiny z Madagaskaru: Misja åwiπteczna;NaN;7.6;7 paüdziernik 2005;2005;54 265;Animacja;USA;11 min.;Gary Trousdale
12 prac Asteriksa;NaN;7.6;12 marzec 1976;1976;72 754;Animacja;Francja;1 godz. 22 min.;Albert Uderzo
Herkules;NaN;7.6;14 czerwiec 1997;1997;117 198;Animacja;USA;1 godz. 32 min.;John Musker
Indiana Jones i åwiπtynia Zag≥ady;NaN;7.5;23 maj 1984;1984;152 278;Przygodowy;USA;1 godz. 58 min.;Steven Spielberg
Dziecko Rosemary;NaN;7.7;12 czerwiec 1968;1968;139 728;Horror;USA;2 godz. 16 min.;Roman PolaÒski
Mulan;NaN;7.7;5 czerwiec 1998;1998;156 187;Animacja;USA;1 godz. 28 min.;Barry Cook
Psy;NaN;7.7;31 grudzieÒ 1992;1992;201 323;Sensacyjny;Polska;1 godz. 44 min.;W≥adys≥aw Pasikowski
Indiana Jones i ostatnia krucjata;NaN;7.7;24 maj 1989;1989;240 157;Przygodowy;USA;2 godz. 7 min.;Steven Spielberg
Miú;NaN;7.8;4 maj 1981;1980;328 932;Komedia;Polska;1 godz. 51 min.;Stanis≥aw Bareja
Sami swoi;NaN;7.8;15 wrzesieÒ 1967;1967;255 395;Komedia obycz.;Polska;1 godz. 18 min.;Sylwester ChÍciÒski
Gwiezdne wojny: CzÍúÊ IV - Nowa nadzieja;8;7.9;25 maj 1977;1977;315 128;Przygodowy;USA;2 godz. 1 min.;George Lucas
PowÛdü;7;6.1;16 styczeÒ 1998;1998;9 177;Thriller;Dania;1 godz. 37 min.;Mikael Salomon
Jamesy Boy;8;6.8;3 styczeÒ 2014;2014;5 422;Biograficzny;USA;1 godz. 49 min.;Trevor White
Cyrk motyli;5;7.8;31 sierpieÒ 2009;2009;51 725;Dramat;USA;20 min.;Joshua Weigel
Aposto≥;7;6.9;1 paüdziernik 2014;2014;897;Dramat;Francja;1 godz. 57 min.;Cheyenne Carron
Imperium;6;6.1;19 sierpieÒ 2016;2016;9 085;Thriller;USA;1 godz. 49 min.;Daniel Ragussis
Under the Shadow;6;5.8;22 styczeÒ 2016;2016;3 584;Horror;Iran;1 godz. 24 min.;Babak Anvari
Kilo 2 Bravo;7;6.6;12 listopad 2014;2014;1 796;Dramat;Wielka Brytania;1 godz. 48 min.;Paul Katis
Kiler;8;7.7;17 listopad 1997;1997;439 386;Komedia;Polska;1 godz. 44 min.;Juliusz Machulski
Po wypadku;7;5.1;14 wrzesieÒ 2012;2012;2 634;Horror;USA;1 godz. 30 min.;Ryan Smith
Mroczna tajemnica;7;5.1;24 luty 2015;2015;1 965;Thriller;Kanada;1 godz. 32 min.;Adam Massey
Lights Out;4;6.7;30 grudzieÒ 2013;2013;1 601;Horror;Szwecja;3 min.;David F. Sandberg
G≥upi i g≥upszy;7;6.1;6 grudzieÒ 1994;1994;285 543;Komedia;USA;1 godz. 46 min.;Bobby Farrelly
DzieÒ przyjaciÛ≥ki;4;4.7;14 luty 2017;2017;848;Dramat;USA;1 godz. 5 min.;Michael Paul Stephenson
Kolonia;7;5.2;26 kwiecieÒ 2013;2013;17 948;Thriller;Kanada;1 godz. 33 min.;Jeff Renfroe
3, 2, 1... Frankie w sieci;7;5.3;10 marzec 2012;2012;1 517;Komedia;USA;1 godz. 29 min.;Jordan Roberts
Zbrukana;6;6.2;20 wrzesieÒ 2014;2014;3 099;Dramat;USA;1 godz. 33 min.;Jason Winn
On wrÛci≥;7;6.8;8 paüdziernik 2015;2015;17 880;Komedia;Niemcy;1 godz. 56 min.;David Wnendt
American Poltergeist;7;1.8;29 maj 2015;2015;1 138;Horror;USA;1 godz. 33 min.;Mike Rutkowski
